2015/02/02 12:35:37 [error] 4219#0: *1 open() "/home/pierre/git/Django-ClasseInversee/ClasseInversee1/media/PICT0010.JPG" failed (13: Permission denied), client: 127.0.0.1, server: 127.0.0.1, request: "GET /media/PICT0010.JPG HTTP/1.1", host: "localhost:8000"
2015/02/02 12:38:07 [error] 4219#0: *2 open() "/home/pierre/git/Django-ClasseInversee/ClasseInversee1/static/Gambian_classroom.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: 127.0.0.1, request: "GET /static/Gambian_classroom.jpg HTTP/1.1", host: "localhost:8000"
2015/02/02 12:38:15 [error] 4219#0: *2 open() "/home/pierre/git/Django-ClasseInversee/ClasseInversee1/static_dep/Gambian_classroom.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: 127.0.0.1, request: "GET /static_dep/Gambian_classroom.jpg HTTP/1.1", host: "localhost:8000"
2015/02/02 12:40:53 [error] 4219#0: *4 open() "/home/pierre/git/Django-ClasseInversee/ClasseInversee1/media/PICT0010.JPG" failed (13: Permission denied), client: 127.0.0.1, server: 127.0.0.1, request: "GET /media/PICT0010.JPG HTTP/1.1", host: "localhost:8000"
2015/02/02 12:52:21 [error] 4471#0: *1 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "localhost:8000"
2015/02/02 13:06:47 [error] 4471#0: *4 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "localhost:8000"
2015/02/02 13:06:51 [error] 4471#0: *4 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "localhost:8000"
2015/02/02 13:06:52 [error] 4471#0: *4 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "localhost:8000"
2015/02/02 13:07:06 [error] 4471#0: *11 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:07:06 [error] 4471#0: *11 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:09:40 [error] 4471#0: *16 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:10:15 [error] 4471#0: *16 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:10:32 [error] 4471#0: *16 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:10:33 [error] 4471#0: *16 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:12:33 [error] 4471#0: *25 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 13:13:07 [error] 4471#0: *25 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8000", host: "127.0.0.1:8000"
2015/02/02 16:30:30 [error] 5969#0: *7 connect() to unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock:", host: "127.0.0.1:8000"
2015/02/02 16:33:38 [error] 5969#0: *9 connect() to unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock:", host: "127.0.0.1:8000"
2015/02/02 16:33:39 [error] 5969#0: *9 connect() to unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock:", host: "127.0.0.1:8000"
2015/02/02 16:33:44 [error] 5969#0: *9 connect() to unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock:", host: "127.0.0.1:8000"
2015/02/02 16:34:31 [error] 5969#0: *9 connect() to unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock:", host: "127.0.0.1:8000"
2015/02/02 16:34:31 [error] 5969#0: *9 connect() to unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET / HTTP/1.1", upstream: "uwsgi://unix:///home/pierre/git/Django-ClasseInversee/ClasseInversee1/mysite.sock:", host: "127.0.0.1:8000"
